id_voto;dpi_ciudadano;mesa_id;fecha_hora;
1;1979280000000;29;2023-06-25 09:54:00;
2;3144520000000;30;2023-06-25 13:08:00;
3;8728090000000;61;2023-06-25 18:45:00;
4;7160010000000;5;2023-06-25 15:25:00;
5;8377100000000;66;2023-06-25 11:38:00;
6;7730280000000;56;2023-06-25 08:18:00;
7;5914960000000;100;2023-06-25 18:08:00;
8;7663950000000;34;2023-06-25 16:40:00;
9;7172070000000;73;2023-06-25 08:58:00;
10;5486730000000;39;2023-06-25 14:44:00;
11;6630990000000;75;2023-06-25 19:43:00;
12;3715870000000;17;2023-06-25 06:42:00;
13;3617460000000;61;2023-06-25 10:09:00;
14;3344000000000;42;2023-06-25 13:28:00; 
15;8718000000000;54;2023-06-25 11:47:00;
16;9422670000000;10;2023-06-25 13:37:00;
17;4461930000000;77;2023-06-25 08:43:00;
18;2972220000000;24;2023-06-25 18:22:00;
19;6367060000000;67;2023-06-25 09:35:00;
20;2656600000000;78;2023-06-25 06:47:00;
21;5711940000000;60;2023-06-25 05:47:00;
22;6283100000000;25;2023-06-25 15:11:00;
23;6406860000000;4;2023-06-25 06:36:00;
24;7402190000000;50;2023-06-25 09:10:00;
25;4909580000000;47;2023-06-25 15:58:00;
26;8073390000000;86;2023-06-25 05:47:00;
27;6621920000000;5;2023-06-25 18:13:00;
28;8860720000000;18;2023-06-25 17:20:00;
29;1614110000000;70;2023-06-25 17:04:00;
30;2865310000000;100;2023-06-25 06:46:00;
31;1454200000000;29;2023-06-25 07:02:00;
32;9080950000000;95;2023-06-25 19:48:00;
33;9715550000000;59;2023-06-25 14:10:00;
34;1105130000000;60;2023-06-25 14:58:00;
35;7246820000000;55;2023-06-25 09:11:00;
36;9073500000000;33;2023-06-25 15:43:00;
37;1896660000000;61;2023-06-25 18:30:00;
38;9456840000000;6;2023-06-25 12:56:00;
39;4912660000000;40;2023-06-25 11:00:00;
40;7576090000000;14;2023-06-25 09:12:00;
41;6023780000000;48;2023-06-25 17:07:00;
42;5741440000000;26;2023-06-25 19:52:00;
43;7362960000000;31;2023-06-25 19:40:00;
44;5789960000000;73;2023-06-25 14:14:00;
45;8396580000000;72;2023-06-25 13:40:00;
46;8143780000000;100;2023-06-25 05:42:00;
47;1439430000000;85;2023-06-25 13:15:00;
48;5145820000000;37;2023-06-25 18:26:00;
49;2767850000000;66;2023-06-25 15:46:00;
50;7016220000000;50;2023-06-25 19:33:00;
51;3863720000000;31;2023-06-25 12:35:00;
52;5146910000000;69;2023-06-25 13:01:00;
53;7402910000000;71;2023-06-25 12:56:00;
54;2668280000000;95;2023-06-25 10:41:00;
55;8774650000000;41;2023-06-25 11:59:00;
56;1167000000000;21;2023-06-25 10:08:00;
57;3408210000000;67;2023-06-25 10:31:00;
58;3229170000000;8;2023-06-25 15:22:00;
59;1609260000000;40;2023-06-25 06:35:00;
60;4611540000000;47;2023-06-25 17:11:00;
61;1476790000000;43;2023-06-25 13:53:00;
62;5048760000000;37;2023-06-25 19:36:00;
63;4810400000000;87;2023-06-25 13:43:00;
64;9145870000000;97;2023-06-25 13:14:00;
65;1298330000000;43;2023-06-25 14:22:00;
66;2450200000000;3;2023-06-25 17:23:00;
67;7699510000000;62;2023-06-25 05:46:00;
68;9546180000000;85;2023-06-25 05:42:00;
69;5908200000000;5;2023-06-25 19:28:00;
70;2270860000000;97;2023-06-25 14:52:00;
71;1909480000000;90;2023-06-25 09:18:00;
72;1294620000000;48;2023-06-25 05:41:00;
73;3680640000000;32;2023-06-25 09:46:00;
74;8466010000000;68;2023-06-25 09:41:00;
75;6260700000000;98;2023-06-25 16:37:00;
76;6731050000000;65;2023-06-25 08:12:00;
77;4091470000000;76;2023-06-25 14:21:00;
78;9049580000000;71;2023-06-25 16:39:00;
79;5019840000000;72;2023-06-25 17:41:00;
80;9086240000000;80;2023-06-25 07:34:00;
81;3071250000000;34;2023-06-25 05:17:00;
82;4282250000000;88;2023-06-25 10:26:00;
83;4187980000000;20;2023-06-25 15:04:00;
84;7080930000000;58;2023-06-25 05:42:00;
85;2994280000000;48;2023-06-25 08:01:00;
86;5738050000000;35;2023-06-25 07:22:00;
87;1135460000000;81;2023-06-25 19:42:00;
88;3349920000000;9;2023-06-25 07:47:00;
89;6911560000000;62;2023-06-25 07:49:00;
90;1807650000000;12;2023-06-25 17:48:00;
91;6087300000000;1;2023-06-25 05:05:00;
92;6740370000000;41;2023-06-25 17:03:00;
93;4692000000000;55;2023-06-25 06:46:00;
94;7348130000000;69;2023-06-25 18:39:00;
95;3153780000000;51;2023-06-25 08:59:00;
96;9816990000000;69;2023-06-25 13:50:00;
97;2557800000000;21;2023-06-25 07:10:00;
98;9011170000000;65;2023-06-25 14:14:00;
99;6015510000000;92;2023-06-25 18:32:00;
100;8659900000000;79;2023-06-25 08:11:00;
101;7210860000000;98;2023-06-25 17:24:00;
